,bus_stop,stop_code,stop_description,route_number,longitude,latitude,gps_speed,trip_start_time,adj_sched_time,adj_age,call_time,stop_id,start_time,stop_sequence,arrival_datetime,call_time_plus_adj
0,6941,4055,CHESTERTON / ASSINIBOINE,111,-75.72068887007863,45.35138501619038,18,14:43:00,1,0.93,2023-11-29 16:42:39,,,,,"0      2023-11-29 16:43:39
1      2023-11-29 16:43:39
2      2023-11-29 16:43:39
3      2023-11-29 16:43:40
4      2023-11-29 16:43:40
               ...        
4196   2023-11-29 17:06:59
4197   2023-11-29 17:06:59
4198   2023-11-29 17:07:00
4199   2023-11-29 17:07:00
4200   2023-11-29 17:07:00
Name: call_time, Length: 4201, dtype: datetime64[ns]"
1,6941,4055,CHESTERTON / ASSINIBOINE,111,-75.7063585478684,45.375254269303944,12,14:58:00,14,0.65,2023-11-29 16:42:39,,,,,"0      2023-11-29 16:56:39
1      2023-11-29 16:56:39
2      2023-11-29 16:56:39
3      2023-11-29 16:56:40
4      2023-11-29 16:56:40
               ...        
4196   2023-11-29 17:19:59
4197   2023-11-29 17:19:59
4198   2023-11-29 17:20:00
4199   2023-11-29 17:20:00
4200   2023-11-29 17:20:00
Name: call_time, Length: 4201, dtype: datetime64[ns]"
2,6941,4055,CHESTERTON / ASSINIBOINE,111,,,,15:12:00,28,-1,2023-11-29 16:42:39,,,,,"0      2023-11-29 17:10:39
1      2023-11-29 17:10:39
2      2023-11-29 17:10:39
3      2023-11-29 17:10:40
4      2023-11-29 17:10:40
               ...        
4196   2023-11-29 17:33:59
4197   2023-11-29 17:33:59
4198   2023-11-29 17:34:00
4199   2023-11-29 17:34:00
4200   2023-11-29 17:34:00
Name: call_time, Length: 4201, dtype: datetime64[ns]"
3,572,4055,CHESTERTON / ASSINIBOINE,111,-75.72068887007863,45.35138501619038,18,14:43:00,1,0.93,2023-11-29 16:42:40,,,,,"0      2023-11-29 16:43:39
1      2023-11-29 16:43:39
2      2023-11-29 16:43:39
3      2023-11-29 16:43:40
4      2023-11-29 16:43:40
               ...        
4196   2023-11-29 17:06:59
4197   2023-11-29 17:06:59
4198   2023-11-29 17:07:00
4199   2023-11-29 17:07:00
4200   2023-11-29 17:07:00
Name: call_time, Length: 4201, dtype: datetime64[ns]"
4,572,4055,CHESTERTON / ASSINIBOINE,111,-75.7063585478684,45.375254269303944,12,14:58:00,14,0.65,2023-11-29 16:42:40,,,,,"0      2023-11-29 16:56:39
1      2023-11-29 16:56:39
2      2023-11-29 16:56:39
3      2023-11-29 16:56:40
4      2023-11-29 16:56:40
               ...        
4196   2023-11-29 17:19:59
4197   2023-11-29 17:19:59
4198   2023-11-29 17:20:00
4199   2023-11-29 17:20:00
4200   2023-11-29 17:20:00
Name: call_time, Length: 4201, dtype: datetime64[ns]"
5,572,4055,CHESTERTON / ASSINIBOINE,111,,,,15:12:00,28,-1,2023-11-29 16:42:40,,,,,"0      2023-11-29 17:10:39
1      2023-11-29 17:10:39
2      2023-11-29 17:10:39
3      2023-11-29 17:10:40
4      2023-11-29 17:10:40
               ...        
4196   2023-11-29 17:33:59
4197   2023-11-29 17:33:59
4198   2023-11-29 17:34:00
4199   2023-11-29 17:34:00
4200   2023-11-29 17:34:00
Name: call_time, Length: 4201, dtype: datetime64[ns]"
6,1932,4055,CHESTERTON / ASSINIBOINE,111,-75.72004033868963,45.351028927889736,19,14:43:00,1,0.15,2023-11-29 16:42:41,,,,,"0      2023-11-29 16:43:39
1      2023-11-29 16:43:39
2      2023-11-29 16:43:39
3      2023-11-29 16:43:40
4      2023-11-29 16:43:40
               ...        
4196   2023-11-29 17:06:59
4197   2023-11-29 17:06:59
4198   2023-11-29 17:07:00
4199   2023-11-29 17:07:00
4200   2023-11-29 17:07:00
Name: call_time, Length: 4201, dtype: datetime64[ns]"
7,1932,4055,CHESTERTON / ASSINIBOINE,111,-75.7063585478684,45.375254269303944,12,14:58:00,14,0.15,2023-11-29 16:42:41,,,,,"0      2023-11-29 16:56:39
1      2023-11-29 16:56:39
2      2023-11-29 16:56:39
3      2023-11-29 16:56:40
4      2023-11-29 16:56:40
               ...        
4196   2023-11-29 17:19:59
4197   2023-11-29 17:19:59
4198   2023-11-29 17:20:00
4199   2023-11-29 17:20:00
4200   2023-11-29 17:20:00
Name: call_time, Length: 4201, dtype: datetime64[ns]"
8,1932,4055,CHESTERTON / ASSINIBOINE,111,,,,15:12:00,28,-1,2023-11-29 16:42:41,,,,,"0      2023-11-29 17:10:39
1      2023-11-29 17:10:39
2      2023-11-29 17:10:39
3      2023-11-29 17:10:40
4      2023-11-29 17:10:40
               ...        
4196   2023-11-29 17:33:59
4197   2023-11-29 17:33:59
4198   2023-11-29 17:34:00
4199   2023-11-29 17:34:00
4200   2023-11-29 17:34:00
Name: call_time, Length: 4201, dtype: datetime64[ns]"
9,884,4055,CHESTERTON / ASSINIBOINE,111,-75.72068887007863,45.35138501619038,18,14:43:00,1,0.97,2023-11-29 16:42:42,,,,,"0      2023-11-29 16:43:39
1      2023-11-29 16:43:39
2      2023-11-29 16:43:39
3      2023-11-29 16:43:40
4      2023-11-29 16:43:40
               ...        
4196   2023-11-29 17:06:59
4197   2023-11-29 17:06:59
4198   2023-11-29 17:07:00
4199   2023-11-29 17:07:00
4200   2023-11-29 17:07:00
Name: call_time, Length: 4201, dtype: datetime64[ns]"
