,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
0,-114.01,51.12,CALGARY INTL A,3031092,2018-01-01,2018,1,1,-1.3,,-30.2,,-15.8,,33.8,,0.0,,0.0,T,18.0,23.0,,30,
1,-114.01,51.12,CALGARY INTL A,3031092,2018-01-02,2018,1,2,1.7,,-10.6,,-4.5,,22.5,,0.0,,0.0,,17.0,,,<31,
2,-114.01,51.12,CALGARY INTL A,3031092,2018-01-03,2018,1,3,5.5,,-10.4,,-2.5,,20.5,,0.0,,0.0,,16.0,,,<31,
3,-114.01,51.12,CALGARY INTL A,3031092,2018-01-04,2018,1,4,2.9,,-12.7,,-4.9,,22.9,,0.0,,0.0,,14.0,,,<31,
4,-114.01,51.12,CALGARY INTL A,3031092,2018-01-05,2018,1,5,9.2,,-11.8,,-1.3,,19.3,,0.0,,0.0,,10.0,28.0,,50,
5,-114.01,51.12,CALGARY INTL A,3031092,2018-01-06,2018,1,6,9.2,,-1.5,,3.9,,14.1,,0.0,,0.0,,6.0,28.0,,54,
6,-114.01,51.12,CALGARY INTL A,3031092,2018-01-07,2018,1,7,4.8,,-6.8,,-1.0,,19.0,,0.0,,0.0,,6.0,28.0,,41,
7,-114.01,51.12,CALGARY INTL A,3031092,2018-01-08,2018,1,8,7.4,,-5.2,,1.1,,16.9,,0.0,,0.0,,6.0,32.0,,30,
8,-114.01,51.12,CALGARY INTL A,3031092,2018-01-09,2018,1,9,-0.5,,-18.0,,-9.3,,27.3,,0.0,,0.2,,5.0,35.0,,63,
9,-114.01,51.12,CALGARY INTL A,3031092,2018-01-10,2018,1,10,-18.0,,-24.7,,-21.4,,39.4,,0.0,,1.6,,5.0,34.0,,48,
10,-114.01,51.12,CALGARY INTL A,3031092,2018-01-11,2018,1,11,-23.3,,-27.6,,-25.5,,43.5,,0.0,,0.0,T,7.0,,,<31,
11,-114.01,51.12,CALGARY INTL A,3031092,2018-01-12,2018,1,12,-17.0,,-24.8,,-20.9,,38.9,,0.0,,0.0,T,7.0,,,<31,
12,-114.01,51.12,CALGARY INTL A,3031092,2018-01-13,2018,1,13,4.1,,-17.0,,-6.5,,24.5,,0.0,,0.0,,7.0,,,<31,
13,-114.01,51.12,CALGARY INTL A,3031092,2018-01-14,2018,1,14,2.4,,-8.4,,-3.0,,21.0,,0.0,,2.8,,7.0,10.0,,30,
14,-114.01,51.12,CALGARY INTL A,3031092,2018-01-15,2018,1,15,-5.3,,-10.4,,-7.9,,25.9,,0.0,,0.8,,11.0,17.0,,41,
15,-114.01,51.12,CALGARY INTL A,3031092,2018-01-16,2018,1,16,9.6,,-10.7,,-0.6,,18.6,,0.0,,0.0,,11.0,29.0,,69,
16,-114.01,51.12,CALGARY INTL A,3031092,2018-01-17,2018,1,17,5.7,,-3.1,,1.3,,16.7,,0.0,,0.0,,10.0,28.0,,46,
17,-114.01,51.12,CALGARY INTL A,3031092,2018-01-18,2018,1,18,8.4,,-4.0,,2.2,,15.8,,0.0,,0.0,T,6.0,29.0,,63,
