service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SEPT23-SEPDA23-Weekday-43,1,1,1,1,1,0,0,20231122,20231222
SEPT23-SEPSA23-Saturday-40,0,0,0,0,0,1,0,20231125,20231202
SEPT23-SEPSU23-Sunday-39,0,0,0,0,0,0,1,20231126,20231203
SEPT23-SEPSA23-Saturday-41,0,0,0,0,0,1,0,20231209,20231223
SEPT23-SEPSU23-Sunday-43,0,0,0,0,0,0,1,20231210,20231217
SEPT23-w1930Hi-Weekday-01,1,1,1,1,1,0,0,20231124,20231124
SEPT23-w1900Hi-Weekday-01,1,1,1,1,1,0,0,20231127,20231205
SEPT23-s1900Hi-Saturday-03,0,0,0,0,0,1,0,20231202,20231202
SEPT23-w1900Sup-Weekday-01,1,1,1,1,1,0,0,20231207,20231207
SEPT23-s1900Sup-Saturday-01,0,0,0,0,0,1,0,20231223,20231223
SEPT23-MThCFD-Weekday-01,1,1,1,1,1,0,0,20231122,20231221
SEPT23-FRICFD-Weekday-01,1,1,1,1,1,0,0,20231124,20231222
SEPT23-CFDSAT-Saturday-20,0,0,0,0,0,1,0,20231125,20231223
SEPT23-CFDSUN-Sunday-20,0,0,0,0,0,0,1,20231126,20231217
SEPT23-E1-Weekday-03,1,1,1,1,1,0,0,20231122,20231222
SEPT23-303Shop-Weekday-01,1,1,1,1,1,0,0,20231122,20231220
SEPT23-304Shop-Weekday-01,1,1,1,1,1,0,0,20231123,20231221
SEPT23-305Shop-Weekday-01,1,1,1,1,1,0,0,20231124,20231222
SEPT23-301Shop-Weekday-01,1,1,1,1,1,0,0,20231127,20231218
SEPT23-302Shop-Weekday-01,1,1,1,1,1,0,0,20231128,20231219
