service_id,date,exception_type
SEPT23-w1900Hi-Weekday-01,20231128,2
SEPT23-w1900Hi-Weekday-01,20231130,2
SEPT23-w1900Hi-Weekday-01,20231201,2
SEPT23-w1900Hi-Weekday-01,20231204,2
SEPT23-MThCFD-Weekday-01,20231124,2
SEPT23-MThCFD-Weekday-01,20231201,2
SEPT23-MThCFD-Weekday-01,20231208,2
SEPT23-MThCFD-Weekday-01,20231215,2
SEPT23-FRICFD-Weekday-01,20231127,2
SEPT23-FRICFD-Weekday-01,20231128,2
SEPT23-FRICFD-Weekday-01,20231129,2
SEPT23-FRICFD-Weekday-01,20231130,2
SEPT23-FRICFD-Weekday-01,20231204,2
SEPT23-FRICFD-Weekday-01,20231205,2
SEPT23-FRICFD-Weekday-01,20231206,2
SEPT23-FRICFD-Weekday-01,20231207,2
SEPT23-FRICFD-Weekday-01,20231211,2
SEPT23-FRICFD-Weekday-01,20231212,2
SEPT23-FRICFD-Weekday-01,20231213,2
SEPT23-FRICFD-Weekday-01,20231214,2
SEPT23-FRICFD-Weekday-01,20231218,2
SEPT23-FRICFD-Weekday-01,20231219,2
SEPT23-FRICFD-Weekday-01,20231220,2
SEPT23-FRICFD-Weekday-01,20231221,2
SEPT23-303Shop-Weekday-01,20231123,2
SEPT23-303Shop-Weekday-01,20231124,2
SEPT23-303Shop-Weekday-01,20231127,2
SEPT23-303Shop-Weekday-01,20231128,2
SEPT23-303Shop-Weekday-01,20231130,2
SEPT23-303Shop-Weekday-01,20231201,2
SEPT23-303Shop-Weekday-01,20231204,2
SEPT23-303Shop-Weekday-01,20231205,2
SEPT23-303Shop-Weekday-01,20231207,2
SEPT23-303Shop-Weekday-01,20231208,2
SEPT23-303Shop-Weekday-01,20231211,2
SEPT23-303Shop-Weekday-01,20231212,2
SEPT23-303Shop-Weekday-01,20231214,2
SEPT23-303Shop-Weekday-01,20231215,2
SEPT23-303Shop-Weekday-01,20231218,2
SEPT23-303Shop-Weekday-01,20231219,2
SEPT23-304Shop-Weekday-01,20231124,2
SEPT23-304Shop-Weekday-01,20231127,2
SEPT23-304Shop-Weekday-01,20231128,2
SEPT23-304Shop-Weekday-01,20231129,2
SEPT23-304Shop-Weekday-01,20231201,2
SEPT23-304Shop-Weekday-01,20231204,2
SEPT23-304Shop-Weekday-01,20231205,2
SEPT23-304Shop-Weekday-01,20231206,2
SEPT23-304Shop-Weekday-01,20231208,2
SEPT23-304Shop-Weekday-01,20231211,2
SEPT23-304Shop-Weekday-01,20231212,2
SEPT23-304Shop-Weekday-01,20231213,2
SEPT23-304Shop-Weekday-01,20231215,2
SEPT23-304Shop-Weekday-01,20231218,2
SEPT23-304Shop-Weekday-01,20231219,2
SEPT23-304Shop-Weekday-01,20231220,2
SEPT23-305Shop-Weekday-01,20231127,2
SEPT23-305Shop-Weekday-01,20231128,2
SEPT23-305Shop-Weekday-01,20231129,2
SEPT23-305Shop-Weekday-01,20231130,2
SEPT23-305Shop-Weekday-01,20231204,2
SEPT23-305Shop-Weekday-01,20231205,2
SEPT23-305Shop-Weekday-01,20231206,2
SEPT23-305Shop-Weekday-01,20231207,2
SEPT23-305Shop-Weekday-01,20231211,2
SEPT23-305Shop-Weekday-01,20231212,2
SEPT23-305Shop-Weekday-01,20231213,2
SEPT23-305Shop-Weekday-01,20231214,2
SEPT23-305Shop-Weekday-01,20231218,2
SEPT23-305Shop-Weekday-01,20231219,2
SEPT23-305Shop-Weekday-01,20231220,2
SEPT23-305Shop-Weekday-01,20231221,2
SEPT23-301Shop-Weekday-01,20231128,2
SEPT23-301Shop-Weekday-01,20231129,2
SEPT23-301Shop-Weekday-01,20231130,2
SEPT23-301Shop-Weekday-01,20231201,2
SEPT23-301Shop-Weekday-01,20231205,2
SEPT23-301Shop-Weekday-01,20231206,2
SEPT23-301Shop-Weekday-01,20231207,2
SEPT23-301Shop-Weekday-01,20231208,2
SEPT23-301Shop-Weekday-01,20231212,2
SEPT23-301Shop-Weekday-01,20231213,2
SEPT23-301Shop-Weekday-01,20231214,2
SEPT23-301Shop-Weekday-01,20231215,2
SEPT23-302Shop-Weekday-01,20231129,2
SEPT23-302Shop-Weekday-01,20231130,2
SEPT23-302Shop-Weekday-01,20231201,2
SEPT23-302Shop-Weekday-01,20231204,2
SEPT23-302Shop-Weekday-01,20231206,2
SEPT23-302Shop-Weekday-01,20231207,2
SEPT23-302Shop-Weekday-01,20231208,2
SEPT23-302Shop-Weekday-01,20231211,2
SEPT23-302Shop-Weekday-01,20231213,2
SEPT23-302Shop-Weekday-01,20231214,2
SEPT23-302Shop-Weekday-01,20231215,2
SEPT23-302Shop-Weekday-01,20231218,2
