route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-349,1,,,0,,DA291C,FFFFFF
2-349,2,,,3,,65A233,FFFFFF
5-349,5,,,3,,6E6E70,FFFFFF
6-349,6,,,3,,D74100,FFFFFF
7-349,7,,,3,,D74100,FFFFFF
9-349,9,,,3,,6E6E70,FFFFFF
10-349,10,,,3,,D74100,FFFFFF
11-349,11,,,3,,D74100,FFFFFF
12-349,12,,,3,,D74100,FFFFFF
14-349,14,,,3,,D74100,FFFFFF
15-349,15,,,3,,E6E6E6,58595B
16-349,16,,,3,,6E6E70,FFFFFF
18-349,18,,,3,,6E6E70,FFFFFF
19-349,19,,,3,,6E6E70,FFFFFF
20-349,20,,,3,,6E6E70,FFFFFF
21-349,21,,,3,,E6E6E6,58595B
23-349,23,,,3,,E6E6E6,58595B
24-349,24,,,3,,6E6E70,FFFFFF
25-349,25,,,3,,D74100,FFFFFF
26-349,26,,,3,,6E6E70,FFFFFF
27-349,27,,,3,,E6E6E6,58595B
28-349,28,,,3,,6E6E70,FFFFFF
30-349,30,,,3,,6E6E70,FFFFFF
31-349,31,,,3,,E6E6E6,58595B
32-349,32,,,3,,E6E6E6,58595B
33-349,33,,,3,,E6E6E6,58595B
34-349,34,,,3,,6E6E70,FFFFFF
35-349,35,,,3,,6E6E70,FFFFFF
37-349,37,,,3,,E6E6E6,58595B
38-349,38,,,3,,6E6E70,FFFFFF
39-349,39,,,3,,0056B8,FFFFFF
40-349,40,,,3,,D74100,FFFFFF
42-349,42,,,3,,6E6E70,FFFFFF
44-349,44,,,3,,D74100,FFFFFF
45-349,45,,,3,,0056B8,FFFFFF
46-349,46,,,3,,6E6E70,FFFFFF
47-349,47,,,3,,E6E6E6,58595B
48-349,48,,,3,,6E6E70,FFFFFF
49-349,49,,,3,,6E6E70,FFFFFF
50-349,50,,,3,,6E6E70,FFFFFF
51-349,51,,,3,,D74100,FFFFFF
53-349,53,,,3,,D74100,FFFFFF
54-349,54,,,3,,6E6E70,FFFFFF
55-349,55,,,3,,6E6E70,FFFFFF
56-349,56,,,3,,E6E6E6,58595B
57-349,57,,,3,,0056B8,FFFFFF
58-349,58,,,3,,6E6E70,FFFFFF
61-349,61,,,3,,0056B8,FFFFFF
62-349,62,,,3,,0056B8,FFFFFF
63-349,63,,,3,,0056B8,FFFFFF
64-349,64,,,3,,6E6E70,FFFFFF
66-349,66,,,3,,E6E6E6,58595B
67-349,67,,,3,,E6E6E6,58595B
73-349,73,,,3,,E6E6E6,58595B
74-349,74,,,3,,0056B8,FFFFFF
75-349,75,,,3,,0056B8,FFFFFF
80-349,80,,,3,,D74100,FFFFFF
81-349,81,,,3,,6E6E70,FFFFFF
82-349,82,,,3,,6E6E70,FFFFFF
83-349,83,,,3,,6E6E70,FFFFFF
84-349,84,,,3,,6E6E70,FFFFFF
85-349,85,,,3,,D74100,FFFFFF
86-349,86,,,3,,6E6E70,FFFFFF
87-349,87,,,3,,D74100,FFFFFF
88-349,88,,,3,,D74100,FFFFFF
89-349,89,,,3,,6E6E70,FFFFFF
90-349,90,,,3,,D74100,FFFFFF
92-349,92,,,3,,6E6E70,FFFFFF
93-349,93,,,3,,6E6E70,FFFFFF
96-349,96,,,3,,6E6E70,FFFFFF
97-349,97,,,3,,0056B8,FFFFFF
98-349,98,,,3,,0056B8,FFFFFF
99-349,99,,,3,,0056B8,FFFFFF
110-349,110,,,3,,E6E6E6,58595B
111-349,111,,,3,,D74100,FFFFFF
114-349,114,,,3,,E6E6E6,58595B
131-349,131,,,3,,6E6E70,FFFFFF
138-349,138,,,3,,6E6E70,FFFFFF
140-349,140,,,3,,E6E6E6,58595B
141-349,141,,,3,,E6E6E6,58595B
153-349,153,,,3,,E6E6E6,58595B
154-349,154,,,3,,E6E6E6,58595B
155-349,155,,,3,,E6E6E6,58595B
158-349,158,,,3,,E6E6E6,58595B
161-349,161,,,3,,E6E6E6,58595B
162-349,162,,,3,,E6E6E6,58595B
164-349,164,,,3,,E6E6E6,58595B
165-349,165,,,3,,E6E6E6,58595B
166-349,166,,,3,,E6E6E6,58595B
168-349,168,,,3,,6E6E70,FFFFFF
170-349,170,,,3,,6E6E70,FFFFFF
171-349,171,,,3,,6E6E70,FFFFFF
173-349,173,,,3,,E6E6E6,58595B
175-349,175,,,3,,6E6E70,FFFFFF
176-349,176,,,3,,E6E6E6,58595B
186-349,186,,,3,,E6E6E6,58595B
187-349,187,,,3,,E6E6E6,58595B
190-349,190,,,3,,E6E6E6,58595B
197-349,197,,,3,,6E6E70,FFFFFF
198-349,198,,,3,,E6E6E6,58595B
199-349,199,,,3,,E6E6E6,58595B
221-349,221,,,3,,A85B8C,FFFFFF
222-349,222,,,3,,A85B8C,FFFFFF
228-349,228,,,3,,A85B8C,FFFFFF
231-349,231,,,3,,A85B8C,FFFFFF
232-349,232,,,3,,A85B8C,FFFFFF
234-349,234,,,3,,A85B8C,FFFFFF
236-349,236,,,3,,A85B8C,FFFFFF
237-349,237,,,3,,A85B8C,FFFFFF
252-349,252,,,3,,A85B8C,FFFFFF
256-349,256,,,3,,A85B8C,FFFFFF
257-349,257,,,3,,A85B8C,FFFFFF
258-349,258,,,3,,A85B8C,FFFFFF
