route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
301-349,SEPT23-301Shop-Weekday-01,90808660-SEPT23-301Shop-Weekday-01,"Bayshore / Carlingwood",0,11074217,3010065
301-349,SEPT23-301Shop-Weekday-01,90808664-SEPT23-301Shop-Weekday-01,"Richmond / Stittsville",1,11074217,3010064
302-349,SEPT23-302Shop-Weekday-01,90808654-SEPT23-302Shop-Weekday-01,"St Laurent / Place D'Orléans",0,11074216,3020037
302-349,SEPT23-302Shop-Weekday-01,90808658-SEPT23-302Shop-Weekday-01,"Cumberland",1,11074216,3020038
303-349,SEPT23-303Shop-Weekday-01,90808647-SEPT23-303Shop-Weekday-01,"Bayshore / Carlingwood",0,11074215,3030056
303-349,SEPT23-303Shop-Weekday-01,90808648-SEPT23-303Shop-Weekday-01,"Dunrobin / Carp / Stittsville",1,11074215,3030057
304-349,SEPT23-304Shop-Weekday-01,90808640-SEPT23-304Shop-Weekday-01,"Billings Bridge / South Keys",0,11074214,3040021
304-349,SEPT23-304Shop-Weekday-01,90808644-SEPT23-304Shop-Weekday-01,"Osgoode / Greely / Metcalfe",1,11074214,3040022
305-349,SEPT23-305Shop-Weekday-01,90808633-SEPT23-305Shop-Weekday-01,"Carlingwood",0,11074213,3050048
305-349,SEPT23-305Shop-Weekday-01,90808637-SEPT23-305Shop-Weekday-01,"North Gower / Manotick",1,11074213,3050049
1-349,SEPT23-CFDSAT-Saturday-20,91375348-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375349-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375350-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375351-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375352-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375353-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375354-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375355-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375356-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375357-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375358-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375359-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375360-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375361-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375362-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375363-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375364-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375365-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375366-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375367-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375368-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375369-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375370-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375371-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375372-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375373-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375374-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375375-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375376-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375377-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375378-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375379-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375380-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375381-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375382-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375383-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375384-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159738,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375385-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159738,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375388-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375389-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375390-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375391-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375392-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375393-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375394-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375395-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375396-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375397-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375398-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375399-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375400-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375401-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375402-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375403-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375404-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375405-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375406-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375407-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375408-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375409-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375410-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375411-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375412-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375413-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375414-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375415-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375416-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375417-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375418-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375419-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375420-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375421-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375422-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375423-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159739,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375424-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159739,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375427-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159740,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375428-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159740,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375429-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159740,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375430-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159740,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375431-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159740,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375432-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159740,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375433-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159740,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375434-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159740,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375435-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159740,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375436-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159740,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375437-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159740,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375438-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159740,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375439-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159740,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375440-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159740,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375441-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159740,10736
1-349,SEPT23-CFDSAT-Saturday-20,91375442-SEPT23-CFDSAT-Saturday-20,"Blair",0,11159740,10716
1-349,SEPT23-CFDSAT-Saturday-20,91375443-SEPT23-CFDSAT-Saturday-20,"Tunney's Pasture",1,11159740,10736
