,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
0,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-01,2018,1,1,-7.8,,-18.3,,-13.1,,31.1,,0.0,,0.0,,,25.0,,52,
1,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-02,2018,1,2,-6.4,,-11.9,,-9.2,,27.2,,0.0,,0.0,,,24.0,,65,
2,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-03,2018,1,3,-4.9,,-10.3,,-7.6,,25.6,,0.0,,0.0,,,23.0,,63,
3,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-04,2018,1,4,-7.4,,-19.4,,-13.4,,31.4,,0.0,,0.0,,,34.0,,56,
4,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-05,2018,1,5,-14.8,,-20.7,,-17.8,,35.8,,0.0,,0.0,,,30.0,,48,
5,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-06,2018,1,6,-15.4,,-22.0,,-18.7,,36.7,,0.0,,0.0,,,28.0,,35,
6,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-07,2018,1,7,-0.5,,-17.1,,-8.8,,26.8,,0.0,,0.0,,,22.0,,63,
7,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-08,2018,1,8,2.8,,-1.2,,0.8,,17.2,,0.0,,0.7,,,23.0,,56,
8,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-09,2018,1,9,1.5,,-1.3,,0.1,,17.9,,0.0,,0.0,,,25.0,,35,
9,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-10,2018,1,10,3.2,,-1.5,,0.9,,17.1,,0.0,,0.7,,,,,<31,
10,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-11,2018,1,11,10.0,,1.8,,5.9,,12.1,,0.0,,8.8,,,,,<31,
11,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-12,2018,1,12,10.1,,-10.9,,-0.4,,18.4,,0.0,,15.3,,,33.0,,65,
12,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-13,2018,1,13,-10.8,,-14.1,,-12.5,,30.5,,0.0,,0.0,,,35.0,,65,
13,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-14,2018,1,14,-5.3,,-14.5,,-9.9,,27.9,,0.0,,0.0,,,13.0,,32,
14,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-15,2018,1,15,-4.7,,-8.1,,-6.4,,24.4,,0.0,,0.4,,,9.0,,52,
15,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-16,2018,1,16,-2.6,,-8.6,,-5.6,,23.6,,0.0,,0.2,,,24.0,,35,
16,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-17,2018,1,17,-4.7,,-10.4,,-7.6,,25.6,,0.0,,0.0,,,24.0,,67,
17,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-18,2018,1,18,-2.6,,-6.9,,-4.8,,22.8,,0.0,,0.0,,,23.0,,57,
18,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-19,2018,1,19,2.9,,-3.2,,-0.2,,18.2,,0.0,,0.0,,,23.0,,59,
19,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-20,2018,1,20,4.5,,0.0,,2.3,,15.7,,0.0,,0.0,,,24.0,,59,
20,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-21,2018,1,21,3.0,,-0.8,,1.1,,16.9,,0.0,,0.4,,,,,<31,
21,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-22,2018,1,22,2.4,,0.8,,1.6,,16.4,,0.0,,12.6,,,6.0,,59,
22,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-23,2018,1,23,6.8,,-3.8,,1.5,,16.5,,0.0,,1.1,,,28.0,,63,
23,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-24,2018,1,24,-3.8,,-10.0,,-6.9,,24.9,,0.0,,0.0,,,31.0,,50,
24,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-25,2018,1,25,-0.8,,-10.1,,-5.5,,23.5,,0.0,,0.0,,,,,<31,
25,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-26,2018,1,26,4.3,,-1.4,,1.5,,16.5,,0.0,,0.0,,,12.0,,33,
26,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-27,2018,1,27,6.8,,1.2,,4.0,,14.0,,0.0,,1.0,,,23.0,,44,
27,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-28,2018,1,28,5.0,,-1.2,,1.9,,16.1,,0.0,,0.0,,,,,<31,
28,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-29,2018,1,29,-1.0,,-6.1,,-3.6,,21.6,,0.0,,2.2,,,2.0,,43,
29,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-30,2018,1,30,-6.0,,-11.9,,-9.0,,27.0,,0.0,,0.0,,,31.0,,50,
30,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-31,2018,1,31,2.5,,-12.1,,-4.8,,22.8,,0.0,,0.0,,,22.0,,48,
31,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-02-01,2018,2,1,4.6,,-8.9,,-2.2,,20.2,,0.0,,0.0,,,27.0,,52,
32,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-02-02,2018,2,2,-7.7,,-14.4,,-11.1,,29.1,,0.0,,0.0,,,24.0,,56,
33,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-02-03,2018,2,3,0.7,,-8.9,,-4.1,,22.1,,0.0,,0.0,,,22.0,,63,
34,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-02-04,2018,2,4,1.5,,-8.5,,-3.5,,21.5,,0.0,,2.1,,,32.0,,61,
35,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-02-05,2018,2,5,-6.0,,-12.0,,-9.0,,27.0,,0.0,,0.0,,,24.0,,56,
